,Image Name,Channel ID,roi_type,label,area,filled_area,major_axis_length,centroid-0,centroid-1,centroid-2,weighted_centroid-0,weighted_centroid-1,weighted_centroid-2,equivalent_diameter,max_intensity,mean_intensity,min_intensity,sphericity,solidity,volume,volume_units,overlap_fraction,distance_x,distance_y,distance_z,distance3d,distance_units
27,20190407_RI510_ESC_32_33_SIR_2C_ALN_THR_19.ome.tiff,1.0,subdomain,3.0,1190.0,1190.0,17.759435592283733,17.97394957983193,28.554621848739497,27.78235294117647,17.988814797736307,28.428640516797596,28.02549485576698,,23676.0,9786.189075630253,4962.0,,,0.23800000000000002,micron^3,,,,,,
28,20190407_RI510_ESC_32_33_SIR_2C_ALN_THR_19.ome.tiff,1.0,subdomain,4.0,1270.0,1270.0,17.781807942550277,20.214173228346457,36.926771653543305,26.16220472440945,20.102612628695322,36.924788555211855,26.101374784195862,,21589.0,9690.45433070866,4831.0,,,0.254,micron^3,,,,,,
29,20190407_RI510_ESC_32_33_SIR_2C_ALN_THR_19.ome.tiff,,overlap,1.0,694.0,694.0,,18.48991354466859,27.0835734870317,28.420749279538907,,,,,,,,,,0.1388,micron^3,0.13191408477475766,0.0009692030207243363,0.491560689280515,0.04115621386754942,0.49328154692867016,micron
30,20190405_RI510_ESC_101_103_SIR_2C_ALN_THR_63.ome.tiff,0.0,domain,1.0,898.0,898.0,17.933799473886523,13.997772828507795,28.472160356347437,22.01224944320713,13.984933195731214,29.0434580121896,21.960487515518043,11.969956481034233,43358.0,15611.541202672606,7445.0,0.5590722256098443,0.6797880393641181,0.1796,micron^3,,,,,,
31,20190405_RI510_ESC_101_103_SIR_2C_ALN_THR_63.ome.tiff,0.0,subdomain,2.0,558.0,558.0,12.76205839987342,13.894265232974911,30.8584229390681,21.56989247311828,13.924315100518093,30.98392768668935,21.608204500264133,,43358.0,17477.90681003584,7468.0,,,0.1116,micron^3,,,,,,
32,20190405_RI510_ESC_101_103_SIR_2C_ALN_THR_63.ome.tiff,1.0,domain,1.0,867.0,867.0,21.145254310981233,14.612456747404844,25.945790080738178,29.061130334486737,14.496848075610663,25.89645123867317,28.873344967682854,11.830601476892603,43625.0,17014.010380622836,8317.0,0.6621928777271707,0.8352601156069365,0.1734,micron^3,,,,,,
33,20190405_RI510_ESC_101_103_SIR_2C_ALN_THR_63.ome.tiff,1.0,subdomain,2.0,342.0,342.0,11.132238612271845,13.473684210526315,22.236842105263158,32.10818713450293,13.454556850968888,22.198813240517566,31.97994050644275,,33913.0,16350.48538011696,8317.0,,,0.0684,micron^3,,,,,,
34,20190405_RI510_ESC_101_103_SIR_2C_ALN_THR_63.ome.tiff,1.0,subdomain,3.0,525.0,525.0,12.997471436629068,15.354285714285714,28.36190476190476,27.076190476190476,15.133181087030739,28.153909679154946,26.976726011572307,,43625.0,17446.249523809525,8371.0,,,0.10500000000000001,micron^3,,,,,,
35,20190405_RI510_ESC_101_103_SIR_2C_ALN_THR_63.ome.tiff,,overlap,1.0,215.0,215.0,,13.702325581395348,28.58139534883721,25.432558139534883,,,,,,,,,,0.043000000000000003,micron^3,0.13870967741935486,0.27651429808659245,0.12588027094065724,0.06398935998493105,0.310484521111271,micron
36,20180723_RI510_ESC_51b_52_SIR_2C_ALN_THR_8.ome.tiff,0.0,domain,1.0,320.0,320.0,20.087907700109888,37.628125,27.375,26.971875,37.59303576847158,27.471245434133174,26.852253375049266,8.486275343576441,53236.0,22471.43125,10580.0,0.5250104107170103,0.6106870229007634,0.064,micron^3,,,,,,
