on,A565_volume,A565_principal_axis,A565_sphericity,A565_CND_number,A565_CND_mean_volume,overlap_fraction,distance
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_16,0.1732,1.463427324,0.54469226,6,0.025833333,0.061182869,0.538873726
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_18,0.1336,1.167589329,0.671559739,3,0.038866667,0.174234424,0.244561486
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_19,0.0932,1.041499634,0.713579152,3,0.0264,0.130492676,0.293699811
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_1,0.1152,1.049374033,0.697854028,3,0.032066667,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_20,0.2212,1.391540253,0.55442723,9,0.020288889,0.064825254,0.474052124
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_21,0.2008,1.451937116,0.541182132,7,0.026114286,0.088731145,0.319346119
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_22,0.0764,0.935998527,0.745744055,3,0.021,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_23,0.123,1.136801659,0.63824045,5,0.02152,0.200887902,0.263698459
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_25,0.1152,1.066066332,0.680351603,2,0.049,0.195247934,0.257724459
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_26,0.1126,1.178708242,0.675194654,3,0.033266667,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_27,0.1026,1.094889532,0.6733438,3,0.0322,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_28,0.2282,1.569279922,0.595498008,8,0.02325,0.24201788,0.237092887
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_29,0.2422,1.733597895,0.53996307,9,0.022955556,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_2,0.1282,1.202765374,0.609928142,5,0.02232,0.130787977,0.251638808
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_30,0.0778,0.948791901,0.666871327,1,0.0674,0.055194805,0.394500784
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_32,0.2036,1.355808529,0.599448767,5,0.03604,0.061875,0.48518881
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_34,0.1282,1.12498207,0.625264021,4,0.0271,0.158450704,0.273667257
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_35,0.1364,1.193308221,0.638200835,4,0.0288,0.185863874,0.353985248
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_36,0.1884,1.487362831,0.595595829,5,0.0342,0.147520402,0.211279633
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_37,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_39,0.2372,1.548401183,0.583403211,4,0.05305,0.198324022,0.135718378
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_3,0.098,1.255507796,0.653038241,3,0.028066667,0.064516129,0.473539313
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_40,0.1616,1.487312958,0.62667559,5,0.02804,0.157733538,0.094293536
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_41,0.2166,1.755802522,0.558624081,5,0.03908,0.066337332,0.395401084
