Image Name,Channel ID,roi_type,label,area,filled_area,major_axis_length,centroid-0,centroid-1,centroid-2,weighted_centroid-0,weighted_centroid-1,weighted_centroid-2,equivalent_diameter,max_intensity,mean_intensity,min_intensity,sphericity,solidity,volume,volume_units,overlap_fraction,distance_x,distance_y,distance_z,distance3d,distance_units,Roi Name
20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,1.0,subdomain,8.0,50.0,50.0,5.548855299297431,7.88,30.38,22.88,7.900292655528677,30.389613684848424,22.82451507373047,,11548.0,8118.76,5518.0,,,0.01,micron^3,,,,,,,ch-1_subdomain_label-8
20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,,overlap,1.0,252.0,252.0,,6.091269841269841,33.23412698412698,21.69047619047619,,,,,,,,,,0.0504,micron^3,0.17733990147783252,0.3250944708337347,0.0016684019521608206,0.043055866947567356,0.32793750351301176,micron,overlap_label-1
20191028_RI512_CTCF-AID_AUX-CTL_111_112_SIR_2C_ALN_THR_155.ome.tiff,0.0,domain,1.0,656.0,656.0,19.988776006179357,25.408536585365855,20.899390243902438,11.705792682926829,25.50102479014695,20.61851749145401,11.63862107512907,10.780404889599652,65535.0,24687.53506097561,10890.0,0.5327610265415088,0.7379077615298087,0.1312,micron^3,,,,,,,ch-0_domain_label-1
20191028_RI512_CTCF-AID_AUX-CTL_111_112_SIR_2C_ALN_THR_155.ome.tiff,0.0,subdomain,2.0,71.0,71.0,8.307413856539378,25.6056338028169,21.971830985915492,4.098591549295775,25.6063073508771,22.0101834378353,4.16216485535934,,27425.0,18233.140845070422,12397.0,,,0.0142,micron^3,,,,,,,ch-0_subdomain_label-2
20191028_RI512_CTCF-AID_AUX-CTL_111_112_SIR_2C_ALN_THR_155.ome.tiff,0.0,subdomain,3.0,585.0,585.0,16.90799599650599,25.384615384615383,20.76923076923077,12.629059829059829,25.491877840094975,20.49760953849107,12.288175674995486,,65535.0,25470.88888888889,10890.0,,,0.117,micron^3,,,,,,,ch-0_subdomain_label-3
20191028_RI512_CTCF-AID_AUX-CTL_111_112_SIR_2C_ALN_THR_155.ome.tiff,1.0,domain,1.0,686.0,686.0,23.116551286442014,24.34985422740525,13.488338192419825,26.91545189504373,24.341188303052427,13.654912345603476,27.333077749730613,10.942296985154808,65535.0,22133.456268221573,9930.0,0.5601206392394806,0.7014314928425358,0.13720000000000002,micron^3,,,,,,,ch-1_domain_label-1
20191028_RI512_CTCF-AID_AUX-CTL_111_112_SIR_2C_ALN_THR_155.ome.tiff,1.0,subdomain,2.0,85.0,85.0,7.3784666177051275,24.611764705882354,11.470588235294118,21.88235294117647,24.570209952037928,11.47546800710422,21.948181228726252,,33012.0,19196.54117647059,10675.0,,,0.017,micron^3,,,,,,,ch-1_subdomain_label-2
20191028_RI512_CTCF-AID_AUX-CTL_111_112_SIR_2C_ALN_THR_155.ome.tiff,1.0,subdomain,3.0,363.0,363.0,17.472023503174075,24.303030303030305,15.129476584022038,29.0633608815427,24.27352155651666,15.0773884164998,29.214520768987747,,65535.0,24580.845730027548,9930.0,,,0.0726,micron^3,,,,,,,ch-1_subdomain_label-3
20191028_RI512_CTCF-AID_AUX-CTL_111_112_SIR_2C_ALN_THR_155.ome.tiff,1.0,subdomain,4.0,91.0,91.0,7.95980480313923,23.967032967032967,16.64835164835165,18.89010989010989,23.979937178707413,16.596714201206673,19.06267132133008,,30949.0,18465.076923076922,10801.0,,,0.0182,micron^3,,,,,,,ch-1_subdomain_label-4
20191028_RI512_CTCF-AID_AUX-CTL_111_112_SIR_2C_ALN_THR_155.ome.tiff,1.0,subdomain,5.0,147.0,147.0,11.542157485836151,24.551020408163264,8.646258503401361,29.489795918367346,24.62507918808306,8.88005803282558,29.332512626005705,,33072.0,20059.020408163266,10103.0,,,0.029400000000000003,micron^3,,,,,,,ch-1_subdomain_label-5
20191028_RI512_CTCF-AID_AUX-CTL_111_112_SIR_2C_ALN_THR_155.ome.tiff,,overlap,1.0,21.0,21.0,,24.38095238095238,17.952380952380953,17.761904761904763,,,,,,,,,,0.004200000000000001,micron^3,0.015897047691143074,0.6277782669840617,0.2785442058340214,0.1449795608868154,0.7019341138427105,micron,overlap_label-1
